ZIP,Adjust Gross Income,Number of returns,Amount
46001,"232,301","4,910","234,290"
46001,23258,1910,23467
46001,46583,1280,47002
46001,46723,760,47017
46001,39929,460,40344
46001,57726,460,58378
46001,18082,40,18082
,,,
46011,"453,901","8,270","458,637"
46011,36836,2960,37264
46011,75263,2070,75907
46011,74992,1220,75638
46011,70925,820,71514
46011,133154,1020,134421
46011,62731,180,63893
,,,
46012,"404,988","8,880","408,558"
46012,44880,3510,45340
46012,88207,2460,89003
46012,77695,1270,78370
46012,66348,770,66859
46012,100166,780,100958
46012,27692,90,28028
,,,
46013,"360,363","9,040","362,989"
46013,50449,3880,50904
46013,96069,2680,96750
46013,74867,1230,75422
46013,56913,660,57321
46013,68670,540,69197
46013,13395,50,13395
,,,
46016,"180,231","6,880","181,285"
46016,54831,4190,55266
46016,65599,1890,65883
46016,30988,520,31162
46016,15213,180,15280
46016,13600,100,13694
46016,** ,** ,** 
,,,
46017,"134,923","3,010","136,025"
46017,15193,1220,15319
46017,28549,790,28741
46017,28808,470,29005
46017,23343,270,23549
46017,29069,230,29450
46017,9961,30,9961
,,,
46030,"90,336","1,430","92,007"
46030,5282,470,5332
46030,12163,330,12315
46030,14120,230,14349
46030,12443,140,12669
46030,27341,200,27877
46030,18987,60,19465
,,,
46031,"62,338","1,090","63,166"
46031,4382,360,4452
46031,9010,240,9118
46031,12040,200,12303
46031,10022,120,10144
46031,18099,140,18364
46031,8785,30,8785
,,,
46032,"3,928,913","23,440","3,991,959"
46032,58051,5840,59458
46032,135913,3640,138849
46032,167257,2700,170099
46032,177989,2040,180617
46032,697870,4920,707304
46032,2691833,4300,2735632
,,,
46033,"2,717,361","17,880","2,763,649"
46033,38708,4360,39687
46033,69822,1900,71548
46033,101508,1630,103703
46033,139418,1590,142274
46033,688681,4840,698586
46033,1679224,3560,1707851
,,,
46034,"283,491","3,620","287,907"
46034,12703,1150,12964
46034,24030,650,24436
46034,30342,490,30686
46034,35436,400,35939
46034,94093,690,95040
46034,86887,240,88842
,,,
46035,"26,808",540,"27,042"
46035,1980,170,1980
46035,5938,160,6005
46035,5665,90,5745
46035,5319,60,5350
46035,7906,60,7962
46035,** ,** ,** 
,,,
46036,"220,648","5,160","222,345"
46036,26438,2130,26646
46036,52635,1440,52882
46036,46626,760,46934
46036,35891,420,36146
46036,48597,380,49276
46036,10461,30,10461
,,,
46037,"2,392,666","19,880","2,429,710"
46037,45912,4760,47083
46037,97407,2630,99290
46037,143399,2310,145607
46037,182618,2090,185052
46037,765388,5420,773983
46037,1157942,2670,1178695
,,,
46038,"1,706,905","20,490","1,730,004"
46038,55154,5310,56397
46038,144902,3840,147833
46038,200359,3220,203209
46038,226829,2610,229304
46038,603567,4490,610001
46038,476094,1020,483260
,,,
46039,"16,110",330,"16,278"
46039,1332,110,1332
46039,3257,90,3363
46039,3083,50,3083
46039,3261,40,3323
46039,5177,40,5177
46039,** ,** ,** 
,,,
46040,"676,580","6,210","686,181"
46040,17895,1710,18211
46040,39520,1070,40073
46040,44837,730,45432
46040,44998,520,45506
46040,180454,1270,182414
46040,348876,910,354545
,,,
46041,"496,153","10,830","501,484"
46041,51000,4170,51515
46041,117087,3230,117914
46041,95304,1560,96069
46041,76315,880,76863
46041,110170,860,111276
46041,46277,130,47847
,,,
46044,"71,318","1,420","71,990"
46044,5782,480,5838
46044,15494,420,15649
46044,12860,210,12947
46044,12755,150,12839
46044,18088,140,18378
46044,6339,20,6339
,,,
46048,"37,950",880,"38,238"
46048,3659,300,3694
46048,10060,270,10162
46048,10336,170,10376
46048,6816,80,6877
46048,7079,60,7129
46048,** ,** ,** 
,,,
46049,"20,708",360,"20,848"
46049,1471,110,1502
46049,3719,100,3719
46049,3664,60,3687
46049,3766,40,3766
46049,8088,50,8174
46049,** ,** ,** 
,,,
46050,"45,133",800,"45,733"
46050,2946,270,2976
46050,6733,190,6789
46050,8169,130,8235
46050,7695,90,7716
46050,19590,120,20017
46050,** ,** ,** 
,,,
46051,"74,556","1,400","75,285"
46051,5299,470,5370
46051,13009,360,13168
46051,12982,210,13091
46051,12555,150,12686
46051,30711,210,30970
46051,** ,** ,** 
,,,
46052,"621,269","10,970","630,467"
46052,44911,3760,45572
46052,104693,2880,105730
46052,98216,1600,99311
46052,97450,1120,98755
46052,175759,1340,177982
46052,100240,270,103117
,,,
46055,"659,292","6,400","668,831"
46055,16435,1590,16766
46055,37717,1020,38293
46055,55135,890,55819
46055,71188,810,72214
46055,202238,1480,204502
46055,276579,610,281237
,,,
46056,"66,970","1,160","67,777"
46056,4548,380,4627
46056,10484,280,10557
46056,11562,190,11693
46056,10130,120,10200
46056,21541,160,21995
46056,8705,30,8705
,,,
