ZIP,Size of adjusted gross income,number of returns,single returns,joint returns,Adjusted gross income
,,,,,
,,,,,
0,Total,"3,101,070","1,455,040","1,175,530","186,891,411"
0,"$1 under $25,000",1132940,798660,138200,13509837
0,"$25,000 under $50,000",770420,401030,192690,27983471
0,"$50,000 under $75,000",442540,159260,223780,27248794
0,"$75,000 under $100,000",291660,54490,216650,25273775
0,"$100,000 under $200,000",369130,35180,320690,49412765
0,"$200,000 or more",94380,6420,83520,43462769
,,,,,
46001,,"4,910","2,130","2,080","232,301"
46001,"$1 under $25,000",1910,1260,340,23258
46001,"$25,000 under $50,000",1280,560,460,46583
46001,"$50,000 under $75,000",760,220,440,46723
46001,"$75,000 under $100,000",460,70,370,39929
46001,"$100,000 under $200,000",460,20,430,57726
46001,"$200,000 or more",40,** ,40,18082
,,,,,
46011,,"8,270","3,700","3,360","453,901"
46011,"$1 under $25,000",2960,2040,410,36836
46011,"$25,000 under $50,000",2070,1000,600,75263
46011,"$50,000 under $75,000",1220,400,660,74992
46011,"$75,000 under $100,000",820,160,620,70925
46011,"$100,000 under $200,000",1020,100,910,133154
46011,"$200,000 or more",180,** ,160,62731
,,,,,
46012,,"8,880","4,210","3,390","404,988"
46012,"$1 under $25,000",3510,2380,540,44880
46012,"$25,000 under $50,000",2460,1200,770,88207
46012,"$50,000 under $75,000",1270,410,720,77695
46012,"$75,000 under $100,000",770,140,600,66348
46012,"$100,000 under $200,000",780,80,690,100166
46012,"$200,000 or more",90,** ,70,27692
,,,,,
46013,,"9,040","4,640","2,860","360,363"
46013,"$1 under $25,000",3880,2640,540,50449
46013,"$25,000 under $50,000",2680,1360,710,96069
46013,"$50,000 under $75,000",1230,460,620,74867
46013,"$75,000 under $100,000",660,120,490,56913
46013,"$100,000 under $200,000",540,60,460,68670
46013,"$200,000 or more",50,** ,40,13395
,,,,,
46016,,"6,880","3,530","1,370","180,231"
46016,"$1 under $25,000",4190,2510,430,54831
46016,"$25,000 under $50,000",1890,810,460,65599
46016,"$50,000 under $75,000",520,170,270,30988
46016,"$75,000 under $100,000",180,40,130,15213
46016,"$100,000 under $200,000",100,** ,80,13600
46016,"$200,000 or more",** ,** ,** ,** 
,,,,,
46017,,"3,010","1,420","1,170","134,923"
46017,"$1 under $25,000",1220,840,180,15193
46017,"$25,000 under $50,000",790,370,270,28549
46017,"$50,000 under $75,000",470,130,280,28808
46017,"$75,000 under $100,000",270,50,210,23343
46017,"$100,000 under $200,000",230,30,200,29069
46017,"$200,000 or more",30,** ,30,9961
,,,,,
46030,,"1,430",590,660,"90,336"
46030,"$1 under $25,000",470,340,70,5282
46030,"$25,000 under $50,000",330,160,100,12163
46030,"$50,000 under $75,000",230,60,140,14120
46030,"$75,000 under $100,000",140,30,120,12443
46030,"$100,000 under $200,000",200,** ,180,27341
46030,"$200,000 or more",60,** ,50,18987
,,,,,
46031,,"1,090",470,500,"62,338"
46031,"$1 under $25,000",360,270,60,4382
46031,"$25,000 under $50,000",240,110,80,9010
46031,"$50,000 under $75,000",200,60,120,12040
46031,"$75,000 under $100,000",120,30,100,10022
46031,"$100,000 under $200,000",140,** ,120,18099
46031,"$200,000 or more",30,** ,20,8785
