ZIP,City,County,Adjust Gross Income,Number of returns
46001,Alexandria,Madison,232301,4910
46011,Anderson,Madison,23258,1910
46012,Anderson,Madison,46583,1280
46013,Anderson,Madison,46723,760
46014,Anderson,Madison,39929,460
46015,Anderson,Madison,57726,460
46016,Anderson,Madison,18082,40
46017,Anderson,Madison,,
46018,Anderson,Madison,453901,8270
46030,Arcadia,Hamilton,36836,2960
46031,Atlanta,Hamilton,75263,2070
46032,Carmel,Hamilton,74992,1220
46033,Carmel,Hamilton,70925,820
46034,Cicero,Hamilton,133154,1020
46035,Colfax,Clinton,62731,180
46036,Elwood,Madison,,
46037,Fishers,Hamilton,404988,8880
46038,Fishers,Hamilton,44880,3510
46039,Forest,Clinton,88207,2460
46040,Fortville,Hancock,77695,1270
46041,Frankfort,Clinton,66348,770
46044,Frankton,Madison,100166,780
46045,Goldsmith,Tipton,27692,90
46047,Hobbs,Tipton,,
46048,Ingalls,Madison,360363,9040
46049,Kempton,Tipton,50449,3880
46050,Kirklin,Clinton,96069,2680
46051,Lapel,Madison,74867,1230
46052,Lebanon,Boone,56913,660
46055,Mc Cordsville,Hancock,68670,540
46056,Markleville,Madison,13395,50
46057,Michigantown,Clinton,,
46058,Mulberry,Clinton,180231,6880
46060,Noblesville,Hamilton,54831,4190
46061,Noblesville,Hamilton,65599,1890
46062,Noblesville,Hamilton,30988,520
46063,Orestes,Madison,15213,180
46064,Pendleton,Madison,13600,100
46065,Rossville,Clinton,** ,** 
46067,Sedalia,Clinton,,
46068,Sharpsville,Tipton,134923,3010
46069,Sheridan,Hamilton,15193,1220
46070,Summitville,Madison,28549,790
46071,Thorntown,Boone,28808,470
46072,Tipton,Tipton,23343,270
46074,Westfield,Hamilton,29069,230
46075,Whitestown,Boone,9961,30
46076,Windfall,Tipton,,
46077,Zionsville,Boone,90336,1430
46082,Carmel,Hamilton,5282,470
46102,Advance,Boone,12163,330
46103,Amo,Hendricks,14120,230
46104,Arlington,Rush,12443,140
46105,Bainbridge,Putnam,27341,200
46106,Bargersville,Johnson,18987,60
46107,Beech Grove,Marion,,
46110,Boggstown,Shelby,62338,1090
46111,Brooklyn,Morgan,4382,360
46112,Brownsburg,Hendricks,9010,240
46113,Camby,Morgan,12040,200
46115,Carthage,Rush,10022,120
46117,Charlottesville,Hancock,18099,140
46118,Clayton,Hendricks,8785,30
46120,Cloverdale,Putnam,,
46121,Coatesville,Putnam,3928913,23440
46122,Danville,Hendricks,58051,5840
46123,Avon,Hendricks,135913,3640
46124,Edinburgh,Johnson,167257,2700
46125,Eminence,Morgan,177989,2040
46126,Fairland,Shelby,697870,4920
46127,Falmouth,Rush,2691833,4300
46128,Fillmore,Putnam,,
46129,Finly,Hancock,2717361,17880
46130,Fountaintown,Shelby,38708,4360
46131,Franklin,Johnson,69822,1900
46133,Glenwood,Fayette,101508,1630
46135,Greencastle,Putnam,139418,1590
46140,Greenfield,Hancock,688681,4840
46142,Greenwood,Johnson,1679224,3560
46143,Greenwood,Johnson,,
46144,Gwynneville,Shelby,283491,3620
